,team,total_shots,onTarget,goals,xG_total,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,recoveries_f3,duels_won,fouls_committed,shots_against,shots_onTarget_against,xGA,goals_against,clean_sheets,ppda,total_passes,f3_passes,short_passes,long_passes,average_pass_length,crosses,ranking,points_per_match,groups
50,Getafe,436,146,36,39.4196258417,8.256880733944955,24.65753424657534,0.0904119858754587,1832,409,465,654,478,192,55.9477912797,66,8,13.397507374105263,16080,2074,8471,2685,20.69091067246584,420,19,0.95,4
51,Carpi,434,132,33,41.0471415979,7.603686635944701,25.0,0.0945786672762672,2035,392,500,706,513,172,49.4595075409,57,8,14.804232941881011,14094,2300,6446,2793,21.45927365423045,429,18,1.0,4
52,Granada,434,132,45,39.8636810976,10.368663594470046,34.090909090909086,0.0918517997640553,1710,365,459,682,443,174,58.2703313246,67,4,12.261489588873893,15170,2079,7402,2757,21.50620657444999,396,16,1.03,4
53,Manchester United,431,141,46,42.1985886025,10.672853828306264,32.62411347517731,0.0979085582424594,1844,440,480,534,415,125,38.518749434300005,33,18,12.723433100677711,21890,2414,13091,2518,19.41340257551144,521,5,1.74,1
54,Chievo,431,133,42,37.9047422636,9.744779582366588,31.57894736842105,0.0879460377345707,1866,371,408,689,604,179,49.6156625703,43,12,14.185335663591706,16891,2164,8744,2738,20.30683991311868,415,9,1.32,2
55,Ingolstadt,425,124,33,39.9611428105,7.764705882352942,26.61290322580645,0.094026218377647,1633,412,366,572,360,116,41.8572353584,42,10,11.000705077593082,13400,2593,5302,2799,22.180738619609944,351,11,1.18,3
56,Stoke City,425,129,40,40.3688437871,9.411764705882351,31.00775193798449,0.0949855147931764,1917,339,442,480,539,175,55.236535552,55,10,16.481815876626044,17878,2355,10009,2547,20.9827619592654,404,9,1.34,2
57,Eibar,424,152,48,50.1885986266,11.320754716981131,31.57894736842105,0.1183693363834905,1934,442,508,718,392,153,49.8720044361,60,7,11.845799698647724,16182,2460,6851,3204,21.90095573865668,510,14,1.13,3
58,Norwich City,424,123,38,38.8913271142,8.962264150943396,30.89430894308943,0.0917248280995283,1830,413,401,481,499,167,59.4055127427,66,5,15.063336008247,16652,2269,8210,2710,20.6684959927227,507,19,0.89,4
59,Las Palmas,423,161,42,36.8923010872,9.929078014184398,26.08695652173913,0.0872158418137115,1819,321,447,543,482,187,57.9173288111,52,11,12.819699386424162,21077,1886,13070,2430,18.963838082663287,328,11,1.16,3
60,Palermo,416,121,37,35.5276707092,8.89423076923077,30.57851239669421,0.085403054589423,2045,438,408,674,618,200,56.9825543096,62,10,15.078053706066171,15919,1957,8345,2580,19.83831692873784,505,16,1.03,4
61,Valencia,410,138,43,46.5883402519,10.48780487804878,31.15942028985507,0.1136300981753658,1745,328,482,643,521,181,56.9469586507,47,7,13.401330519492983,18014,1963,10020,2525,20.21272551758452,467,12,1.16,3
